source target weight_t0 weight_t1 weight_t2 weight_t3 weight_t4
AZ_Alkmaar CSKA_Moscow 0 2 0 0 0
AZ_Alkmaar Spartak_Moscow 1 0 0 1 0
AZ_Alkmaar Willem_II 0 0 1 1 1
AZ_Alkmaar FC_Groningen 0 1 0 0 0
AZ_Alkmaar UC_Sampdoria 0 1 0 0 0
AZ_Alkmaar SC_Feyenoord 0 1 0 1 1
AZ_Alkmaar Genoa 0 0 0 0 1
AZ_Alkmaar Aston_Villa 0 1 0 0 0
AZ_Alkmaar NAC_Breda 1 0 2 0 0
AZ_Alkmaar Charlton 0 0 1 0 0
AZ_Alkmaar Stade_Brestois 0 1 0 0 1
AZ_Alkmaar Atalanta 0 0 0 0 1
AZ_Alkmaar Parma 0 1 0 0 0
AZ_Alkmaar Brescia 1 0 0 0 0
AZ_Alkmaar Hertha_BSC 0 0 1 0 0
AZ_Alkmaar Werder_Bremen 0 0 1 0 0
AZ_Alkmaar FC_Utrecht 0 0 1 2 0
AZ_Alkmaar Fulham 1 0 0 0 0
AZ_Alkmaar Sporting 0 1 0 0 0
AZ_Alkmaar SC_Cambuur_Leeuwarden 0 0 3 0 1
AZ_Alkmaar FC_Eindhoven 1 1 1 1 0
AZ_Alkmaar Brighton 0 0 0 1 0
AZ_Alkmaar Roda_JC 1 0 0 0 0
AZ_Alkmaar Hull_City 0 0 1 0 0
AZ_Alkmaar FC_Toulouse 0 0 0 0 1
AZ_Alkmaar Espanyol 0 1 0 0 0
AZ_Alkmaar FC_Schalke_04 0 0 0 0 1
AZ_Alkmaar Suderland 0 1 0 0 0
AZ_Alkmaar SC_Heerenveen 0 0 0 2 0
AZ_Alkmaar SS_Lazio 0 0 1 0 0
AZ_Alkmaar Sevilla_FC 0 0 0 0 1
AZ_Alkmaar Wolfsburg 0 0 0 1 0
AZ_Alkmaar Ajax 2 2 2 0 1
AZ_Alkmaar FC_Zwolle 0 0 0 1 1
AZ_Alkmaar VVV-Venlo 0 1 0 0 0
AZ_Alkmaar NEC_Nijmegen 0 1 0 0 1
AZ_Alkmaar Watford_FC 0 0 1 0 0
AZ_Alkmaar Vitesse 2 0 0 0 0
AZ_Alkmaar FC_Augsburg 0 1 1 0 0
AZ_Alkmaar OGC_Nice 0 0 0 0 1
AZ_Alkmaar Heracles_Almelo 1 1 0 1 0
Académica_Coimbra SC_Braga 0 1 0 0 0
Académica_Coimbra Hertha_BSC 1 0 0 0 0
Académica_Coimbra Marítimo 0 1 1 0 0
Académica_Coimbra Benfica 0 1 0 0 0
Académica_Coimbra FC_Porto 1 0 1 0 0
Académica_Coimbra Gil_Vicente_FC 0 1 0 0 0
Académica_Coimbra União_de_Leiria 1 0 0 0 0
Académica_Coimbra FC_Paços_de_Ferreira 0 1 0 0 0
Académica_Coimbra Portimonense 1 0 0 0 0
Académica_Coimbra Vitória_Setúbal_FC 0 2 0 0 0
Académica_Coimbra Vitória_Guimarães_SC 1 0 0 0 0
Académica_Coimbra Blackburn 0 1 0 0 0
Académica_Coimbra FC_Penafiel 0 0 1 0 0
Académica_Coimbra CD_Málaga 0 1 0 0 0
Académica_Coimbra FC_Lorient 0 1 0 0 0
Académica_Coimbra Wolfsburg 0 1 0 0 0
Académica_Coimbra Boavista 0 0 1 0 0
Ajax VVV-Venlo 1 0 0 0 0
Ajax Genoa 0 0 0 1 0
Ajax FC_Twente 1 2 0 0 1
Ajax Chelsea 0 0 0 0 1
Ajax PSG 0 1 0 0 0
Ajax Juventus 0 0 0 1 0
Ajax Torino_FC 0 0 0 0 1
Ajax Bologna 0 0 0 1 0
Ajax Real_Madrid 2 0 0 0 0
Ajax Middlesbrough_FC 0 0 1 0 0
Ajax Elche_CF 0 0 0 0 1
Ajax AZ_Alkmaar 0 0 0 1 0
Ajax FC_Eindhoven 0 0 0 1 0
Ajax CD_Nacional 1 0 0 0 0
Ajax Benfica 0 1 0 0 0
Ajax CD_Málaga 1 0 0 0 0
Ajax Arsenal 1 0 0 0 0
Ajax FC_Utrecht 0 0 0 1 1
Ajax Sparta_Rotterdam 2 0 0 0 1
Ajax Kuban_Krasnodar 0 1 0 0 0
Ajax Inter_Milan 0 0 0 0 1
